Offset,K1,K2,K3,K4,K5,K6,K7
40559,0,0,1,1,0,0,1
40564,0,0,0,1,0,0,1
40566,0,0,0,1,0,0,0
40571,0,0,0,0,0,0,0
40725,0,0,0,0,0,0,1
40728,0,1,1,1,0,1,1
40732,1,1,1,1,0,1,1
40772,0,1,1,1,0,1,1
40784,0,1,1,1,0,0,0
40786,0,0,0,1,0,0,0
40801,0,0,0,0,0,0,0
40894,0,1,0,0,1,0,0
40896,1,1,0,0,1,0,0
40952,0,1,0,0,1,0,0
40965,0,0,0,0,1,0,0
40979,0,0,1,0,1,0,1
40985,0,0,1,0,0,1,1
41039,0,0,1,0,0,0,1
41049,0,0,1,0,0,0,0
41064,1,0,1,1,0,0,0
41066,1,0,0,1,0,0,0
41133,1,1,0,1,0,0,0
41137,1,1,0,1,1,0,0
41142,1,1,0,0,1,0,0
41156,0,1,0,0,1,0,0
41219,0,1,1,0,1,0,1
41228,0,1,1,0,0,0,1
41231,1,1,1,0,0,0,1
41262,1,0,1,0,0,0,1
41289,1,0,0,0,0,0,1
41296,0,0,0,0,0,0,1
41301,0,0,0,1,0,1,1
41310,0,0,0,1,0,1,0
41391,0,0,0,0,0,1,1
41395,1,0,0,0,0,1,1
41399,1,1,1,0,0,1,1
41418,1,1,1,0,0,0,1
41446,0,1,1,0,0,0,1
41454,0,0,1,0,0,0,1
41464,0,0,0,0,0,0,1
41470,0,0,0,0,1,0,1
41477,0,0,0,1,1,0,1
41485,0,0,0,1,1,0,0
41545,0,0,0,1,1,0,1
41548,0,0,0,1,1,1,1
41564,1,0,0,0,1,1,1
41566,1,1,1,0,1,1,1
41572,1,1,1,0,0,1,1
41620,0,1,1,0,0,1,1
41632,0,1,1,0,0,0,1
41634,0,0,0,0,0,0,1
41639,0,0,0,0,0,0,0
41734,0,0,0,0,1,0,0
41812,0,0,0,0,1,0,1
41814,0,1,1,0,1,0,1
41815,1,1,1,0,1,0,1
41823,1,1,1,0,0,1,1
41873,0,1,1,0,0,1,1
41880,0,0,0,0,0,1,1
41884,0,0,0,0,0,1,0
41889,0,0,0,0,0,0,0
42039,0,0,0,0,0,0,1
42045,0,0,0,1,0,0,1
42049,1,0,0,1,0,0,1
42121,1,0,0,0,0,0,1
42125,1,0,0,0,0,0,0
42135,1,1,0,0,0,0,0
42136,1,1,0,0,1,0,0
42159,0,1,0,0,1,0,0
42203,1,1,0,0,1,0,0
42215,1,1,1,0,1,0,0
42220,1,1,1,0,0,1,1
42252,1,0,1,0,0,1,1
42294,0,0,0,0,0,1,1
42309,0,0,0,0,1,1,1
42313,0,0,0,1,1,1,1
42321,0,0,0,1,1,1,0
42326,0,0,0,1,1,0,0
42374,0,0,0,1,0,0,0
42385,0,0,0,0,0,0,0
42402,0,1,1,0,0,0,0
42465,0,0,0,0,0,0,0
42475,0,0,0,0,0,0,1
42485,0,0,0,1,0,0,1
42487,0,0,0,1,1,1,1
42536,0,0,0,1,0,0,1
42541,0,0,0,1,0,0,0
42551,0,0,0,0,0,0,0
42558,1,0,0,0,0,0,0
42565,1,1,0,0,0,0,0
42639,1,1,1,0,0,0,0
